10000000001000,VICTORIA,OTERO,ALBA,FEMENINO,30/05/2000,votero@gmail.com,4424511689,5560236528,DERECHO Y LEYES,1
10000000001010,SOFIA,TENDERO,VILLALONGA,FEMENINO,03/05/1999,stendero@gmail.com,4421547895,5511917213,INGENIERIA,0
10000000001020,CONSUELO,ARTIGAS,ROPERO,FEMENINO,17/05/2000,cartigas@gmail.com,4424525130,5559234029,CONTABILIDAD,1
10000000001030,ANA,MEGIAS,ROMANO,FEMENINO,26/05/1998,amegias@gmail.com,4426987145,5518308043,RECURSOS HUMANOS,1
10000000001040,CLAUDIA,HARO,FUERTES,FEMENINO,03/18/2000,charo@gmail.com,4426325160,5596820721,COMUNICACION,1
10000000001050,YOLANDA,PINILLA,MONTANER,FEMENINO,12/07/2000,ypinilla@gmail.com,4426630025,5568314616,CONSTRUCCION,0
10000000001060,SOFIA,LORCA,MACIAS,FEMENINO,23/05/2002,slorca@gmail.com,4429912190,5507712554,INGENIERIA,0
10000000001070,ELENA,CARPIO,SALAZAR,FEMENINO,19/07/2001,ecarpio@gmail.com,4421105205,5539474956,CONSTRUCCION,0
10000000001080,LUISA,SANTACRUZ,TRILLO,FEMENINO,10/04/2001,lsantacruz@gmail.com,4426337850,5549310991,CONTABILIDAD,1
10000000001090,TERESA,CALVINO,ARTERO,FEMENINO,29/07/2001,tcalvino@gmail.com,4426400206,554541328,RECURSOS HUMANOS,1
10000000001100,HECTOR,VILAR,MAYOL,MASCULINO,19/03/2002,hvilar@gmail.com,4426663245,5560626142,DERECHO Y LEYES,1
10000000001110,IGNACIO,ZABALETA,NUNEZ,MASCULINO,06/06/1999,izabaleta@gmail.com,4427776555,5562286518,VENTAS,1
10000000001120,JORGE,CARAZO,BARROSO,MASCULINO,07/03/1999,jcarazo@gmail.com,4422254718,552822044,CONTABILIDAD,0
10000000001130,DANIEL,OLIVARES,MARRERO,MASCULINO,15/02/2002,dolivares@gmail.com,4423386522,5507383251,VENTAS,1
10000000001140,LUIS,ANDRES,NAVARRETE,MASCULINO,25/01/2002,landres@gmail.com,4421119566,5513062001,COMUNICACION,1
10000000001150,JOAQUIN,MIRO,CARRACEDO,MASCULINO,11/01/2002,jmiro@gmail.com,4425050384,5576932630,RECURSOS HUMANOS,0
10000000001160,HECTOR,ESTRUCH,BAYONA,MASCULINO,21/11/2003,hestruch@gmail.com,4426846516,5528077441,VENTAS,1
10000000001170,FRANCISCO,VELEZ,SALCEDO,MASCULINO,14/04/2002,fvelez@gmail.com,4420321501,5533364915,COMUNICACION,0
10000000001180,ENRIQUE,LLUCH,GODOY,MASCULINO,19/08/2003,elluch@gmail.com,4421653406,5598713615,DERECHO Y LEYES,0
10000000001190,ESTEBAN,MORALEDA,TINOCO,MASCULINO,12/12/2000,emoraleda@gmail.com,4420852816,5571604081,INGENIERIA,1
